,active_cases,cases,country_name,deaths,deaths_per_1m_population,new_cases,new_deaths,region,serious_critical,tests_per_1m_population,total_cases_per_1m_population,total_recovered,total_tests
162,16,57,French Polynesia,0,0,0,0,,1,"7,365",203,41,"2,069"
163,49,53,Guinea-Bissau,1,0.5,1,1,,0,762,27,3,"1,500"
164,36,52,Nepal,0,0,3,0,,0,"1,763",2,16,"51,367"
165,31,46,Chad,0,0,0,0,,0,0,3,15,0
166,14,45,Macao,0,0,0,0,,1,0,69,31,0
167,26,43,Syria,3,0.2,1,0,,0,0,2,14,0
168,26,39,Eritrea,0,0,0,0,,0,0,11,13,0
169,11,38,Saint Martin,3,78,0,0,,3,0,983,24,0
170,29,38,Mongolia,0,0,1,0,,0,"2,224",12,9,"7,292"
171,27,34,Malawi,3,0.2,1,0,,1,32,2,4,617
172,25,31,Zimbabwe,4,0.3,0,0,,0,408,2,2,"6,067"
173,18,26,Angola,2,0.06,1,0,,0,0,0.8,6,0
174,10,24,Antigua and Barbuda,3,31,0,0,,1,"1,154",245,11,113
175,22,24,Timor-Leste,0,0,0,0,,0,244,18,2,322
176,21,22,Botswana,1,0.4,0,0,,0,"2,136",9,0,"5,023"
177,9,19,CAR,0,0,3,0,,0,0,4,10,0
178,12,19,Laos,0,0,0,0,,0,238,3,7,"1,735"
179,11,18,Belize,2,5,0,0,,1,"2,052",45,5,816
180,6,18,Fiji,0,0,0,0,,0,"1,004",20,12,900
181,11,18,Grenada,0,0,0,0,,4,"1,555",160,7,175
182,1,18,New Caledonia,0,0,0,0,,1,"13,842",63,17,"3,952"
183,4,16,Curaçao,1,6,0,0,,0,"1,853",98,11,304
184,3,16,Dominica,0,0,0,0,,0,"5,320",222,13,383
185,8,16,Namibia,0,0,0,0,,0,266,6,8,675
186,13,15,Saint Kitts and Nevis,0,0,0,0,,0,"4,887",282,2,260
187,0,15,Saint Lucia,0,0,0,0,,0,"2,429",82,15,446
188,9,14,St. Vincent Grenadines,0,0,0,0,,0,973,126,5,108
189,3,13,Nicaragua,3,0.5,1,0,,0,0,2,7,0
190,2,13,Falkland Islands,0,0,0,0,,0,"101,437","3,736",11,353
191,6,11,Burundi,1,0.08,0,0,,0,24,0.9,4,284
192,8,11,Montserrat,1,200,0,0,,1,"7,212","2,204",2,36
193,6,11,Turks and Caicos,1,26,0,0,,0,"2,144",284,4,83
194,0,11,Greenland,0,0,0,0,,0,"21,138",194,11,"1,200"
195,5,11,Seychelles,0,0,0,0,,0,0,112,6,0
196,1,10,Gambia,1,0.4,0,0,,0,166,4,8,401
197,2,10,Suriname,1,2,0,0,,0,689,17,7,404
198,7,9,MS Zaandam,2,0,0,0,,0,0,0,0,0
199,7,9,Vatican City,0,0,0,0,,0,0,"11,236",2,0
200,8,8,Papua New Guinea,0,0,0,0,,0,68,0.9,0,604
201,0,7,Mauritania,1,0.2,0,0,,0,222,2,6,"1,032"
202,3,7,Bhutan,0,0,0,0,,0,"12,689",9,4,"9,791"
203,2,6,British Virgin Islands,1,33,0,0,,0,0,198,3,0
204,0,6,St. Barth,0,0,0,0,,0,0,607,6,0
205,6,6,South Sudan,0,0,1,0,,0,0,0.5,0,0
206,1,6,Western Sahara,0,0,0,0,,0,0,10,5,0
207,5,5,Caribbean Netherlands,0,0,0,0,,0,"4,195",191,0,110
208,4,4,Sao Tome and Principe,0,0,0,0,,0,87,18,0,19
209,2,3,Anguilla,0,0,0,0,,0,0,200,1,0
210,1,1,Saint Pierre Miquelon,0,0,0,0,,0,0,173,0,0
211,0,1,Yemen,0,0,0,0,,0,4,0.03,1,120
212,801,"82,827",China,"4,632",3,11,0,,51,0,58,"77,394",0
